Similarity To Query-ID And Document-ID (Sorted):
{[6,15]=0.184921182569823,
[5,15]=0.0151530790757288,
[7,18]=0.015088854884021535,
[6,35]=0.014956855330200702,
[7,42]=0.014920010280232075,
[3,16]=0.014825687657545644,
[1,9]=0.01369304112756005,
[5,36]=0.013520729373221428,
[6,44]=0.012685582078119203,
[2,46]=0.012624217379928842,
[6,45]=0.012607113908172237,
[1,14]=0.01258218232203662,
[6,34]=0.012568672738747325,
[7,12]=0.012452079662805314,
[6,3]=0.012173781765444092,
[3,54]=0.011950201470579834,
[6,48]=0.011856846397041106,
[2,54]=0.01179773012057331,
[1,47]=0.011705268870468704,
[2,60]=0.011381475668513066,
[5,54]=0.011105420627997065,
[6,19]=0.010970293827301698,
[1,21]=0.010452606432092209,
[2,57]=0.010266759254943436,
[5,57]=0.009664289558014402,
[5,47]=0.00947524736203698,
[6,12]=0.008737441562526961,
[6,8]=0.008577417400741773,
[2,29]=0.008516741732792295,
[2,2]=0.00845248126196642,
[6,28]=0.008402516087144355,
[7,32]=0.008332761397030564,
[7,53]=0.008230494238868416,
[3,3]=0.008082127164025416,
[3,33]=0.008077307203360175,
[2,3]=0.00797900816283894,
[2,33]=0.007974249699539363,
[3,37]=0.007893379116127865,
[2,37]=0.007792668331216645,
[5,3]=0.0075107873240825174,
[5,33]=0.00750630809494737,
[7,2]=0.007412320044992437,
[3,32]=0.007370507088909531,
[3,34]=0.007349549980613131,
[5,37]=0.007335382208965749,
[2,32]=0.007276467572601346,
[5,34]=0.006829997315286789,
[3,59]=0.0067687238074224925,
[3,15]=0.0066826221171623545,
[7,15]=0.006654411351636468,
[2,15]=0.006597359252072117,
[5,16]=0.006400103531124909,
[3,53]=0.006352956265829877,
[2,53]=0.006271899572286409,
[3,30]=0.00607143550575315,
[2,30]=0.005993970705655951,
[5,46]=0.005985392143556953,
[3,41]=0.005958541016039802,
[5,41]=0.005537321230541922,
[7,9]=0.005513380450332807,
[7,31]=0.005114517354243946,
[3,28]=0.004913383714335471,
[2,28]=0.0048506943739198205,
[3,18]=0.004758638296206575,
[3,6]=0.004745607755230114,
[2,18]=0.004697923336128152,
[7,46]=0.004453748203274434,
[7,47]=0.004161015282134652,
[3,12]=0.00392706693823326,
[2,12]=0.0038769619086977737,
[1,1]=0.0,
[1,2]=0.0,
[1,3]=0.0,
[1,4]=0.0,
[1,6]=0.0,
[1,11]=0.0,
[1,15]=0.0,
[1,18]=0.0,
[1,19]=0.0,
[1,20]=0.0,
[1,22]=0.0,
[1,23]=0.0,
[1,26]=0.0,
[1,27]=0.0,
[1,30]=0.0,
[1,31]=0.0,
[1,32]=0.0,
[1,33]=0.0,
[1,36]=0.0,
[1,37]=0.0,
[1,39]=0.0,
[1,40]=0.0,
[1,41]=0.0,
[1,44]=0.0,
[1,45]=0.0,
[1,46]=0.0,
[1,48]=0.0,
[1,50]=0.0,
[1,51]=0.0,
[1,54]=0.0,
[1,55]=0.0,
[1,56]=0.0,
[1,57]=0.0,
[1,59]=0.0,
[2,1]=0.0,
[2,4]=0.0,
[2,5]=0.0,
[2,8]=0.0,
[2,13]=0.0,
[2,14]=0.0,
[2,19]=0.0,
[2,20]=0.0,
[2,22]=0.0,
[2,25]=0.0,
[2,27]=0.0,
[2,31]=0.0,
[2,35]=0.0,
[2,36]=0.0,
[2,38]=0.0,
[2,39]=0.0,
[2,40]=0.0,
[2,45]=0.0,
[2,48]=0.0,
[2,55]=0.0,
[2,56]=0.0,
[3,1]=0.0,
[3,4]=0.0,
[3,7]=0.0,
[3,8]=0.0,
[3,11]=0.0,
[3,14]=0.0,
[3,20]=0.0,
[3,22]=0.0,
[3,25]=0.0,
[3,26]=0.0,
[3,27]=0.0,
[3,35]=0.0,
[3,36]=0.0,
[3,38]=0.0,
[3,39]=0.0,
[3,40]=0.0,
[3,43]=0.0,
[3,44]=0.0,
[3,45]=0.0,
[3,50]=0.0,
[3,51]=0.0,
[3,55]=0.0,
[3,56]=0.0,
[4,7]=0.0,
[4,8]=0.0,
[4,13]=0.0,
[4,18]=0.0,
[4,20]=0.0,
[4,22]=0.0,
[4,23]=0.0,
[4,24]=0.0,
[4,25]=0.0,
[4,29]=0.0,
[4,30]=0.0,
[4,31]=0.0,
[4,32]=0.0,
[4,33]=0.0,
[4,37]=0.0,
[4,38]=0.0,
[4,39]=0.0,
[4,40]=0.0,
[4,46]=0.0,
[4,47]=0.0,
[4,50]=0.0,
[4,53]=0.0,
[4,54]=0.0,
[4,59]=0.0,
[4,60]=0.0,
[5,1]=0.0,
[5,8]=0.0,
[5,10]=0.0,
[5,11]=0.0,
[5,14]=0.0,
[5,19]=0.0,
[5,20]=0.0,
[5,21]=0.0,
[5,23]=0.0,
[5,35]=0.0,
[5,38]=0.0,
[5,39]=0.0,
[5,40]=0.0,
[5,43]=0.0,
[5,45]=0.0,
[5,48]=0.0,
[5,50]=0.0,
[5,52]=0.0,
[5,55]=0.0,
[5,56]=0.0,
[6,1]=0.0,
[6,2]=0.0,
[6,4]=0.0,
[6,6]=0.0,
[6,7]=0.0,
[6,9]=0.0,
[6,10]=0.0,
[6,11]=0.0,
[6,14]=0.0,
[6,16]=0.0,
[6,18]=0.0,
[6,20]=0.0,
[6,21]=0.0,
[6,22]=0.0,
[6,23]=0.0,
[6,25]=0.0,
[6,27]=0.0,
[6,29]=0.0,
[6,30]=0.0,
[6,31]=0.0,
[6,32]=0.0,
[6,36]=0.0,
[6,37]=0.0,
[6,38]=0.0,
[6,39]=0.0,
[6,40]=0.0,
[6,41]=0.0,
[6,42]=0.0,
[6,43]=0.0,
[6,46]=0.0,
[6,47]=0.0,
[6,51]=0.0,
[6,52]=0.0,
[6,53]=0.0,
[6,54]=0.0,
[6,55]=0.0,
[6,56]=0.0,
[6,57]=0.0,
[6,58]=0.0,
[6,59]=0.0,
[7,4]=0.0,
[7,7]=0.0,
[7,14]=0.0,
[7,20]=0.0,
[7,21]=0.0,
[7,22]=0.0,
[7,23]=0.0,
[7,24]=0.0,
[7,29]=0.0,
[7,33]=0.0,
[7,35]=0.0,
[7,37]=0.0,
[7,38]=0.0,
[7,40]=0.0,
[7,43]=0.0,
[7,48]=0.0,
[7,54]=0.0,
[7,55]=0.0,
[7,57]=0.0,
[7,60]=0.0}
=============================================================================
